codigo,descripcion
78.3.0.01,ESPECIFICADO TRANSPOSICIÓN ÓSEA EN HUESOS LARGOS CON COLOCACIÓN DE
78.3.2.01,ALARGAMIENTO DE HÚMERO POR INJERTO SIN DISPOSITIVOS INTERNOS DE FIJACIÓN U OSTEOTOMÍA
78.3.2.02,ALARGAMIENTO DE HÚMERO POR INJERTO CON DISPOSITIVOS INTERNOS DE FIJACIÓN U OSTEOTOMÍA
78.3.2.03,"ALARGAMIENTO DE HÚMERO POR TÉCNICA DE DISTRACCIÓN SIN (CORTICOTOMÍA, OSTEOTOMÍA)"
78.3.2.04,ALARGAMIENTO DE HÚMERO POR TÉCNICA DE DISTRACCIÓN CON
78.3.3.01,ALARGAMIENTO DE RADIO O CÚBITO POR INJERTO SIN DISPOSITIVOS INTERNOS DE FIJACIÓN Y OSTEOTOMÍA
78.3.3.02,ALARGAMIENTO DE RADIO Y CÚBITO POR INJERTO CON DISPOSITIVOS INTERNOS DE FIJACIÓN Y OSTEOTOMÍA
78.3.3.05,ALARGAMIENTO DE CÚBITO O RADIO PROGRESIVO CON DISPOSITIVO DE FIJACIÓN EXTERNA
78.3.3.06,ALARGAMIENTO DE CÚBITO Y RADIO PROGRESIVO CON DISPOSITIVO DE FIJACIÓN EXTERNA
78.3.3.07,"ALARGAMIENTO DE RADIO O CÚBITO POR TÉCNICA DE DISTRACCIÓN SIN (CORTICOTOMÍA, OSTEOTOMÍA)"
78.3.3.08,"ALARGAMIENTO DE RADIO Y CÚBITO POR TÉCNICA DE DISTRACCIÓN CON (CORTICOTOMÍA, OSTEOTOMÍA)"
78.3.4.01,METACARPIANOS ALARGAMIENTO DE METACARPIANOS (UNO O MÁS) POR INJERTO SIN DISPOSITIVOS INTERNOS DE FIJACIÓN Y OSTEOTOMÍA
78.3.4.02,ALARGAMIENTO DE METACARPIANOS (UNO O MÁS) POR INJERTO CON DISPOSITIVOS INTERNOS DE FIJACIÓN Y OSTEOTOMÍA
78.3.4.03,"ALARGAMIENTO DE METACARPIANOS (UNO O MÁS) POR TÉCNICA DE DISTRACCIÓN SIN (CORTICOTOMÍA, OSTEOTOMÍA)"
78.3.4.04,ALARGAMIENTO DE METACARPIANOS (UNO O MÁS) POR TÉCNICA
78.3.5.01,ALARGAMIENTO DE FÉMUR POR INJERTO SIN DISPOSITIVOS INTERNOS DE FIJACIÓN Y OSTEOTOMÍA
78.3.5.02,ALARGAMIENTO DE FÉMUR POR INJERTO CON DISPOSITIVOS INTERNOS DE FIJACIÓN Y OSTEOTOMÍA
78.3.5.03,"ALARGAMIENTO DE FÉMUR POR TÉCNICA DE DISTRACCIÓN SIN (CORTICOTOMÍA, OSTEOTOMÍA)"
78.3.5.04,ALARGAMIENTO DE FÉMUR POR TÉCNICA DE DISTRACCIÓN CON
78.3.7.01,ALARGAMIENTO DE TIBIA POR INJERTO SIN DISPOSITIVOS INTERNOS DE FIJACIÓN Y OSTEOTOMÍA
78.3.7.02,ALARGAMIENTO DE TIBIA POR INJERTO CON DISPOSITIVOS INTERNOS DE FIJACIÓN Y OSTEOTOMÍA
78.3.7.03,ALARGAMIENTO DE PERONÉ POR INJERTO SIN DISPOSITIVOS INTERNOS DE FIJACIÓN Y OSTEOTOMÍA
78.3.7.04,ALARGAMIENTO DE PERONÉ POR INJERTO CON DISPOSITIVOS INTERNOS DE FIJACIÓN Y OSTEOTOMÍA
78.3.7.05,"ALARGAMIENTO DE TIBIA POR TÉCNICA DE DISTRACCIÓN SIN (CORTICOTOMÍA, OSTEOTOMÍA)"
78.3.7.06,"CUPS” CÓDIGO                                 DESCRIPCIÓN ALARGAMIENTO DE TIBIA POR TÉCNICA DE DISTRACCIÓN CON (CORTICOTOMÍA, OSTEOTOMÍA)"
78.3.7.07,"ALARGAMIENTO DE PERONÉ POR TÉCNICA DE DISTRACCIÓN SIN (CORTICOTOMÍA, OSTEOTOMÍA)"
78.3.7.08,"ALARGAMIENTO DE PERONÉ POR TÉCNICA DE DISTRACCIÓN CON (CORTICOTOMÍA, OSTEOTOMÍA)"
78.3.8.01,METATARSIANOS ALARGAMIENTO DE TARSIANOS (UNO O MÁS) POR INJERTO SIN DISPOSITIVOS INTERNOS DE FIJACIÓN Y OSTEOTOMÍA
78.3.8.02,ALARGAMIENTO DE TARSIANOS (UNO O MÁS) POR INJERTO CON DISPOSITIVOS INTERNOS DE FIJACIÓN Y OSTEOTOMÍA
78.3.8.03,ALARGAMIENTO DE METATARSIANOS (UNO O MÁS) POR INJERTO SIN DISPOSITIVOS INTERNOS DE FIJACIÓN Y OSTEOTOMÍA
78.3.8.04,ALARGAMIENTO DE METATARSIANOS (UNO O MÁS) POR INJERTO CON DISPOSITIVOS INTERNOS DE FIJACIÓN Y OSTEOTOMÍA
78.3.8.05,"ALARGAMIENTO DE TARSIANOS (UNO O MÁS) POR TÉCNICA DE DISTRACCIÓN SIN (CORTICOTOMÍA, OSTEOTOMÍA)"
78.3.8.06,"ALARGAMIENTO DE TARSIANOS (UNO O MÁS) POR TÉCNICA DE DISTRACCIÓN CON (CORTICOTOMÍA, OSTEOTOMÍA)"
78.3.8.07,"ALARGAMIENTO DE METATARSIANOS (UNO O MÁS) POR TÉCNICA DE DISTRACCIÓN SIN (CORTICOTOMÍA, OSTEOTOMÍA)"
78.3.8.08,"ALARGAMIENTO DE METATARSIANOS (UNO O MÁS) POR TÉCNICA DE DISTRACCIÓN CON (CORTICOTOMÍA, OSTEOTOMÍA)"
78.3.9.01,(DE PIE) ALARGAMIENTO DE FALANGES DE MANO CON INJERTO SIN DISPOSITIVOS INTERNOS DE FIJACIÓN Y OSTEOTOMÍA
78.3.9.02,"ALARGAMIENTO DE FALANGES DE MANO POR TÉCNICA DE DISTRACCIÓN SIN (CORTICOTOMÍA, OSTEOTOMÍA)"
78.3.9.03,"ALARGAMIENTO DE FALANGES DE MANO POR TÉCNICA DE DISTRACCIÓN CON (CORTICOTOMÍA, OSTEOTOMÍA)"
78.3.9.11,ALARGAMIENTO DE FALANGES DE PIE POR INJERTO SIN DISPOSITIVOS INTERNOS DE FIJACIÓN Y OSTEOTOMÍA
78.3.9.12,ALARGAMIENTO DE FALANGES DE PIE POR INJERTO CON DISPOSITIVOS INTERNOS DE FIJACIÓN Y OSTEOTOMÍA
78.3.9.13,"ALARGAMIENTO DE FALANGES DE PIE POR TÉCNICA DE DISTRACCIÓN SIN (CORTICOTOMÍA, OSTEOTOMÍA)"
78.3.9.14,"ALARGAMIENTO DE FALANGES DE PIE POR TÉCNICA DE DISTRACCIÓN CON (CORTICOTOMÍA, OSTEOTOMÍA)"
78.4.1.01,REPARACIÓN DE PSEUDOARTROSIS DE CLAVÍCULA
78.4.1.02,REPARACIÓN DE PSEUDOARTROSIS DE ESCÁPULA
78.4.1.03,REPARACIÓN DE PSEUDOARTROSIS DE HÚMERO
78.4.1.04,REPARACIÓN DE PSEUDOARTROSIS DE CÚBITO
78.4.1.05,REPARACIÓN DE PSEUDOARTROSIS DE RADIO
78.4.1.06,REPARACIÓN DE PSEUDOARTROSIS DE HUESOS DEL CARPO
78.4.1.07,REPARACIÓN DE PSEUDOARTROSIS DE METACARPIANO
78.4.1.08,REPARACIÓN DE PSEUDOARTROSIS DE FALANGES DE MANO
78.4.1.09,REPARACIÓN DE PSEUDOARTROSIS DE SACROILÍACA
78.4.1.10,REPARACIÓN DE PSEUDOARTROSIS DE COLUMNA ANTERIOR DEL ACETÁBULO
78.4.1.11,REPARACIÓN DE PSEUDOARTROSIS DE COLUMNA POSTERIOR DEL ACETÁBULO
78.4.1.12,CUPS” CÓDIGO                                    DESCRIPCIÓN REPARACIÓN DE PSEUDOARTROSIS DE PARED POSTERIOR ACETÁBULO
78.4.1.13,REPARACIÓN DE PSEUDOARTROSIS DE LAS RAMAS ÍLIO O ISQUIOPÚBICA
78.4.1.14,REPARACIÓN DE PSEUDOARTROSIS DE CUELLO FEMORAL
78.4.1.15,REPARACIÓN DE PSEUDOARTROSIS DE FÉMUR
78.4.1.16,REPARACIÓN DE PSEUDOARTROSIS DE RÓTULA
78.4.1.17,REPARACIÓN DE PSEUDOARTROSIS DE TIBIA
78.4.1.18,REPARACIÓN DE PSEUDOARTROSIS DE PERONÉ
78.4.1.19,REPARACIÓN DE PSEUDOARTROSIS DE ASTRÁGALO
78.4.1.20,REPARACIÓN DE PSEUDOARTROSIS DE CALCÁNEO
78.4.1.21,REPARACIÓN DE PSEUDOARTROSIS DE HUESOS DEL TARSO
78.4.1.22,REPARACIÓN DE PSEUDOARTROSIS DE METATARSIANOS
78.4.1.23,REPARACIÓN DE PSEUDOARTROSIS DE FALANGES DE PIE
78.5.1.01,"CLAVÍCULA Y TÓRAX FIJACIÓN INTERNA SIN REDUCCIÓN DE FRACTURA EN ESCÁPULA,"
78.5.2.01,FIJACIÓN INTERNA SIN REDUCCIÓN DE FRACTURA DE HÚMERO
78.5.3.01,CÚBITO FIJACIÓN INTERNA SIN REDUCCIÓN DE FRACTURA DE RADIO O CÚBITO
78.5.4.01,METACARPIANOS FIJACIÓN INTERNA SIN REDUCCIÓN DE FRACTURA DE CARPIANOS
78.5.5.01,FIJACIÓN INTERNA SIN REDUCCIÓN DE FRACTURA DE FÉMUR
78.5.6.01,FIJACIÓN INTERNA SIN REDUCCIÓN DE FRACTURA DE RÓTULA
78.5.8.01,METATARSIANOS FIJACIÓN INTERNA SIN REDUCCIÓN DE FRACTURA DE TARSIANOS O METATARSIANOS
78.5.9.01,HUESOS ESPECIFICADOS FIJACIÓN INTERNA SIN REDUCCIÓN DE FRACTURA DE FALANGES DE PIE O DE MANO
78.6.0.01,EN HUESO NO ESPECIFICADO EXTRACCIÓN DE DISPOSITIVO IMPLANTADO EN HUESO NO ESPECIFICADO
78.6.0.02,"EXTRACCIÓN DE CUERPO EXTRAÑO EN HUESO NO ESPECIFICADO, VÍA ABIERTA"
78.6.1.01,"EN ESCÁPULA, CLAVÍCULA O TÓRAX (COSTILLAS Y ESTERNÓN) EXTRACCIÓN DE DISPOSITIVO IMPLANTADO EN ESCÁPULA, CLAVÍCULA O TÓRAX (COSTILLAS Y ESTERNÓN)"
78.6.1.02,"EXTRACCIÓN DE CUERPO EXTRAÑO EN ESCÁPULA, CLAVÍCULA O TÓRAX (COSTILLAS Y ESTERNÓN), VÍA ABIERTA"
78.6.2.01,EN HÚMERO EXTRACCIÓN DE DISPOSITIVO IMPLANTADO EN HÚMERO
78.6.2.02,"EXTRACCIÓN DE CUERPO EXTRAÑO EN HÚMERO, VÍA ABIERTA"
78.6.3.01,EN RADIO O CÚBITO EXTRACCIÓN DE DISPOSITIVO IMPLANTADO EN RADIO O CÚBITO
78.6.3.02,"EXTRACCIÓN DE CUERPO EXTRAÑO EN RADIO O CÚBITO, VÍA ABIERTA"
78.6.4.01,EN CARPIANOS O METACARPIANOS EXTRACCIÓN DE DISPOSITIVO IMPLANTADO EN CARPIANOS O METACARPIANOS (UNO O MÁS)
78.6.4.02,"EXTRACCIÓN DE CUERPO EXTRAÑO EN CARPIANOS O METACARPIANOS (UNO O MÁS), VÍA ABIERTA"
78.6.5.01,EN FÉMUR EXTRACCIÓN DE DISPOSITIVO IMPLANTADO EN FÉMUR
78.6.5.02,"EXTRACCIÓN DE CUERPO EXTRAÑO EN FÉMUR, VÍA ABIERTA"
78.6.6.01,EN RÓTULA EXTRACCIÓN DE DISPOSITIVO IMPLANTADO EN RÓTULA
78.6.6.02,"EXTRACCIÓN DE CUERPO EXTRAÑO EN RÓTULA, VÍA ABIERTA"
78.6.7.01,EN TIBIA O PERONÉ EXTRACCIÓN DE DISPOSITIVO IMPLANTADO EN TIBIA O PERONÉ
78.6.7.02,"EXTRACCIÓN DE CUERPO EXTRAÑO EN TIBIA O PERONÉ, VÍA ABIERTA"
78.6.8.01,EN TARSIANOS O METATARSIANOS EXTRACCIÓN DE DISPOSITIVO IMPLANTADO EN TARSIANOS O METATARSIANOS (CADA UNO)
78.6.8.02,EXTRACCIÓN DE CUERPO EXTRAÑO EN TARSIANOS O METATARSIANOS (CADA UNO) VÍA ABIERTA
78.6.9.01,EN OTROS HUESOS ESPECIFICADOS EXTRACCIÓN DE DISPOSITIVO IMPLANTADO EN FALANGES (UNO O MÁS) DE MANO
78.6.9.02,"EXTRACCIÓN DE CUERPO EXTRAÑO EN FALANGES (UNO O MÁS) DE MANO, VÍA ABIERTA"
78.6.9.10,EXTRACCIÓN DE DISPOSITIVO IMPLANTADO EN FALANGES (UNO O MÁS) DE PIE
78.6.9.11,"CUPS” CÓDIGO                                 DESCRIPCIÓN EXTRACCIÓN DE CUERPO EXTRAÑO EN FALANGES (UNO O MÁS) DE PIE, VÍA ABIERTA"
78.6.9.20,EXTRACCIÓN DE DISPOSITIVO IMPLANTADO EN HUESOS PELVIANOS
78.6.9.21,"EXTRACCIÓN DE CUERPO EXTRAÑO EN HUESOS PELVIANOS, VÍA ABIERTA"
78.6.9.30,"EXTRACCIÓN DE DISPOSITIVO IMPLANTADO EN COLUMNA VERTEBRAL, VÍA ANTERIOR"
78.6.9.31,EXTRACCIÓN DE CUERPO EXTRAÑO EN COLUMNA VERTEBRAL O TEJIDO PARAVERTEBRAL VÍA ANTERIOR
78.6.9.32,EXTRACCIÓN DE CUERPO EXTRAÑO EN COLUMNA VERTEBRAL O TEJIDO PARAVERTEBRAL VÍA LATERAL
78.6.9.35,"EXTRACCIÓN DE DISPOSITIVO IMPLANTADO EN COLUMNA VERTEBRAL, VÍA POSTERIOR"
78.6.9.36,EXTRACCIÓN DE CUERPO EXTRAÑO EN COLUMNA VERTEBRAL O
78.7.1.01,"OSTEOCLASTIA DE ESCÁPULA, CLAVÍCULA O TÓRAX (COSTILLAS Y"
78.7.2.01,OSTEOCLASTIA DE HÚMERO
78.7.3.01,OSTEOCLASTIA DE RADIO O CÚBITO
78.7.4.01,OSTEOCLASTIA DE CARPIANOS O METACARPIANOS
78.7.5.01,OSTEOCLASTIA DE FÉMUR
78.7.6.01,OSTEOCLASTIA DE RÓTULA
78.7.7.01,OSTEOCLASTIA DE TIBIA O PERONÉ
78.7.8.01,OSTEOCLASTIA DE TARSIANOS O METATARSIANOS
78.7.9.01,OSTEOCLASTIA DE FALANGES (UNO O MÁS) DE MANO
78.7.9.02,OSTEOCLASTIA DE FALANGES (UNO O MÁS) DE PIE
78.9.2.01,HÚMERO INSERCIÓN DE ESTIMULADOR DEL CRECIMIENTO ÓSEO DE HÚMERO
78.9.3.01,CÚBITO INSERCIÓN DE ESTIMULADOR DE CRECIMIENTO ÓSEO DE CÚBITO
78.9.3.02,INSERCIÓN DE ESTIMULADOR DE CRECIMIENTO ÓSEO DE RADIO
78.9.3.03,INSERCIÓN DE ESTIMULADOR DE CRECIMIENTO ÓSEO DE RADIO Y CÚBITO
78.9.4.01,CARPIANOS O METACARPIANOS INSERCIÓN DE ESTIMULADOR DE CRECIMIENTO ÓSEO DE CARPIANOS
78.9.4.02,CUPS” CÓDIGO                                 DESCRIPCIÓN INSERCIÓN DE ESTIMULADOR DE CRECIMIENTO ÓSEO DE METACARPIANOS
78.9.4.03,INSERCIÓN DE ESTIMULADOR DE CRECIMIENTO ÓSEO DE
78.9.5.01,INSERCIÓN DE ESTIMULADOR DE CRECIMIENTO ÓSEO DE FÉMUR
78.9.7.01,PERONÉ INSERCIÓN DE ESTIMULADOR DE CRECIMIENTO ÓSEO DE PERONÉ
78.9.7.02,INSERCIÓN DE ESTIMULADOR DE CRECIMIENTO ÓSEO DE TIBIA
78.9.7.03,INSERCIÓN DE ESTIMULADOR DE CRECIMIENTO ÓSEO DE TIBIA Y PERONÉ
78.9.8.01,TARSIANOS O METATARSIANOS INSERCIÓN DE ESTIMULADOR DE CRECIMIENTO ÓSEO DE TARSIANOS
78.9.8.02,INSERCIÓN DE ESTIMULADOR DE CRECIMIENTO ÓSEO DE METATARSIANOS
78.9.8.03,INSERCIÓN DE ESTIMULADOR DE CRECIMIENTO ÓSEO DE TARSIANOS Y METATARSIANOS
78.9.9.01,HUESOS INSERCIÓN DE ESTIMULADOR DE CRECIMIENTO ÓSEO DE FALANGES
78.9.9.20,INSERCIÓN DE ESTIMULADOR DE CRECIMIENTO ÓSEO DE HUESOS
79.0.1.01,"ESCÁPULA, CLAVÍCULA O TÓRAX REDUCCIÓN CERRADA DE FRACTURA SIN FIJACIÓN INTERNA DE ESCÁPULA, CLAVÍCULA O TÓRAX (COSTILLAS O ESTERNÓN)"
79.0.2.01,HÚMERO REDUCCIÓN CERRADA DE FRACTURA SIN FIJACIÓN INTERNA DE HÚMERO
79.0.3.01,CÚBITO O RADIO REDUCCIÓN CERRADA SIN FIJACIÓN DE FRACTURA DE RADIO Y CÚBITO (RADIOCUBITAL PROXIMAL O DISTAL)
79.0.3.02,REDUCCIÓN CERRADA DE FRACTURA SIN FIJACIÓN INTERNA DE CÚBITO O RADIO
79.0.4.01,CARPIANOS O METACARPIANOS REDUCCIÓN CERRADA DE FRACTURA SIN FIJACIÓN DE FRACTURA DE HUESOS DEL CARPO (UNO O MÁS)
79.0.4.02,REDUCCIÓN CERRADA DE FRACTURA SIN FIJACIÓN DE FRACTURA DE METACARPIANOS (UNO O MÁS)
79.0.5.01,FÉMUR REDUCCIÓN CERRADA DE FRACTURA DE FÉMUR SIN FIJACIÓN INTERNA
79.0.6.01,RÓTULA REDUCCIÓN CERRADA DE FRACTURA SIN FIJACIÓN INTERNA DE RÓTULA
79.0.7.03,TIBIA O PERONÉ REDUCCIÓN CERRADA DE FRACTURA DE TIBIA
79.0.7.04,REDUCCIÓN CERRADA DE FRACTURA DE PERONÉ
79.0.8.01,TARSIANOS Y METATARSIANOS REDUCCIÓN CERRADA SIN FIJACIÓN INTERNA FRACTURA TARSO O METATARSO
79.0.9.01,OTROS HUESOS ESPECÍFICOS REDUCCIÓN CERRADA DE FRACTURA SIN FIJACIÓN INTERNA DE FALANGES DE MANO (UNA O MÁS)
79.0.9.02,REDUCCIÓN CERRADA DE FRACTURA SIN FIJACIÓN INTERNA DE FALANGES DE PIE (UNA O MÁS)
79.0.9.20,REDUCCIÓN CERRADA DE FRACTURA SIN FIJACIÓN INTERNA DE FRACTURA DE HUESOS PELVIANOS
79.0.9.30,REDUCCIÓN CERRADA DE FRACTURA CERVICAL E INMOVILIZACIÓN CON HALOYESO O HALOCHAQUETA
79.0.9.31,REDUCCIÓN CERRADA DE FRACTURA DE COLUMNA CERVICAL E INMOVILIZACIÓN CON DISPOSITIVO
79.0.9.32,REDUCCIÓN CERRADA DE FRACTURA COLUMNA VERTEBRAL (DORSAL O LUMBAR) E INMOVILIZACIÓN
79.0.9.33,REDUCCIÓN CERRADA DE FRACTURA DE SACRO O SACROILÍACA O
79.1.1.01,"ESCÁPULA, CLAVÍCULA O TÓRAX (COSTILLAS Y ESTERNÓN) REDUCCIÓN INDIRECTA DE FRACTURA CON FIJACIÓN INTERNA DE ESCÁPULA CLAVÍCULA O TÓRAX (COSTILLAS Y ESTERNÓN)"
79.1.1.02,REDUCCIÓN INDIRECTA DE FRACTURA CON FIJACIÓN INTERNA DE LESIONES INTRAARTICULARES DE HOMBRO VÍA ARTROSCÓPICA
79.1.2.01,"HÚMERO REDUCCIÓN INDIRECTA DE FRACTURA CON FIJACIÓN INTERNA DE HÚMERO (EPÍFISIS O DIÁFISIS), PERCUTÁNEA CON PINES"
79.1.3.01,RADIO Y CÚBITO REDUCCIÓN INDIRECTA DE FRACTURA DE CÚBITO O RADIO CON FIJACIÓN
79.1.3.02,REDUCCIÓN INDIRECTA DE FRACTURA DE CÚBITO Y RADIO CON FIJACIÓN
79.1.4.01,CARPIANOS Y METACARPIANOS FIJACIÓN INTERNA DE FRACTURA E INESTABILIDAD DE MUÑECA POR ARTROSCOPIA
79.1.4.02,REDUCCIÓN INDIRECTA DE FRACTURA DE METACARPIANOS Y FIJACIÓN PERCUTÁNEA CON DISPOSITIVO
79.1.4.04,REDUCCIÓN DE FRACTURA DE HUESOS DE CARPO Y FIJACIÓN PERCUTÁNEA CON DISPOSITIVO
79.1.4.05,CUPS” CÓDIGO                                   DESCRIPCIÓN REDUCCIÓN DE FRACTURA DE HUESO DE CARPO CON DISPOSITIVO VÍA ARTROSCÓPICA
79.1.5.01,FÉMUR REDUCCIÓN INDIRECTA CON FIJACIÓN INTERNA DE CUELLO DE FÉMUR O INTERTROCANTÉRICA
79.1.5.02,REDUCCIÓN INDIRECTA DE FRACTURA DE FÉMUR SUPRACONDÍLEA CON FIJACIÓN INTERNA
79.1.5.03,REDUCCIÓN INDIRECTA DE FRACTURA DE FÉMUR SUPRACONDÍLEA E INTERCONDÍLEA CON FIJACIÓN INTERNA
79.1.6.01,DE RÓTULA REDUCCIÓN INDIRECTA DE FRACTURA CON FIJACIÓN INTERNA DE RÓTULA
79.1.7.01,FIJACIÓN INTERNA REDUCCIÓN INDIRECTA DE PILÓN CON FIJACIÓN EXTERNA
79.1.7.02,REDUCCIÓN INDIRECTA DE FRACTURAS OSTEOCONDRALES O DE LA ESPINA TIBIAL CON FIJACIÓN INTERNA VÍA ARTROSCÓPICA
79.1.7.03,REDUCCIÓN INDIRECTA DE FRACTURAS DEL TERCIO PROXIMAL DE LA TIBIA CON FIJACIÓN INTERNA
79.1.7.04,REDUCCIÓN INDIRECTA DE FRACTURAS DE LA TIBIA DIAFISIARIA CON FIJACIÓN INTERNA
79.1.7.05,REDUCCIÓN INDIRECTA DE FRACTURAS DE PERONÉ CON FIJACIÓN INTERNA REVISIÓN ENDOSCÓPICA DE DISPOSITIVOS DE FIJACIÓN
79.1.7.40,(OSTEOSÍNTESIS) DE LAS FRACTURAS DEL TERCIO PROXIMAL DE LA TIBIA
79.1.9.01,"OTROS HUESOS ESPECÍFICOS REDUCCIÓN INDIRECTA DE FRACTURA CON FIJACIÓN PERCUTÁNEA CON DISPOSITIVO DE FALANGES DE PIE O DE MANO REDUCCIÓN DE FRACTURA, DESCOMPRESIÓN CON"
79.1.9.30,"INSTRUMENTACIÓN, EN SEGMENTO TORÁCICO O LUMBAR, VÍA"
79.2.1.01,"ESCÁPULA, CLAVÍCULA Y TÓRAX (COSTILLAS Y ESTERNÓN) REDUCCIÓN ABIERTA SIN FIJACIÓN INTERNA DE FRACTURA DE UNA O MÁS COSTILLAS"
79.2.1.02,REDUCCIÓN ABIERTA SIN FIJACIÓN INTERNA DE FRACTURA DE ESCÁPULA O CLAVÍCULA
79.2.1.03,REDUCCIÓN ABIERTA SIN FIJACIÓN INTERNA DE FRACTURA CUELLO Y GLENOIDES
79.2.2.01,HÚMERO REDUCCIÓN ABIERTA DE FRACTURA SIN FIJACIÓN INTERNA DE HÚMERO
79.2.3.01,RADIO O CÚBITO REDUCCIÓN ABIERTA DE FRACTURA SIN FIJACIÓN INTERNA DE RADIO O CÚBITO
79.2.3.02,REDUCCIÓN ABIERTA DE FRACTURA SIN FIJACIÓN INTERNA DE RADIO Y CÚBITO
79.2.4.01,CARPIANOS Y METACARPIANOS REDUCCIÓN ABIERTA SIN FIJACIÓN DE FRACTURA DE HUESO DEL CARPO O METACARPO
79.2.4.02,REDUCCIÓN ABIERTA SIN FIJACIÓN DE FRACTURA DE HUESO DEL CARPO O METACARPO VÍA ARTROSCÓPICA
79.2.5.01,FÉMUR REDUCCIÓN ABIERTA DE FRACTURA DE FÉMUR SIN FIJACIÓN INTERNA
79.2.6.01,RÓTULA REDUCCIÓN ABIERTA DE FRACTURA DE RÓTULA SIN FIJACIÓN INTERNA
79.2.8.01,"TARSIANOS O METATARSIANOS REDUCCIÓN ABIERTA FRACTURA SIN FIJACIÓN INTERNA, DE HUESOS DEL TARSO O METATARSO (UNO O MÁS)"
79.2.9.01,OTROS HUESOS ESPECÍFICOS REDUCCIÓN ABIERTA DE FRACTURA SIN FIJACIÓN INTERNA DE FALANGES DE MANO
79.2.9.02,REDUCCIÓN ABIERTA DE FRACTURA SIN FIJACIÓN INTERNA DE FALANGES DE PIE
79.2.9.20,REDUCCIÓN ABIERTA DE FRACTURA SIN FIJACIÓN INTERNA DE
79.3.1.01,"ESCÁPULA, CLAVÍCULA O TÓRAX (COSTILLAS Y ESTERNÓN) REDUCCIÓN ABIERTA DE FRACTURA CON FIJACIÓN INTERNA (DISPOSITIVOS DE FIJACIÓN U OSTEOSÍNTESIS) DE CLAVÍCULA"
79.3.1.02,REDUCCIÓN ABIERTA DE FRACTURA CON FIJACIÓN INTERNA DE ESCÁPULA
79.3.1.03,REDUCCIÓN ABIERTA DE FRACTURA CON FIJACIÓN INTERNA DE COSTILLA O ESTERNÓN
79.3.2.01,HÚMERO REDUCCIÓN ABIERTA DE FRACTURA SUBCAPITAL DE HÚMERO CON FIJACIÓN INTERNA (DISPOSITIVOS DE FIJACIÓN U OSTEOSÍNTESIS) REDUCCIÓN ABIERTA DE FRACTURA DE TUBEROSIDAD PROXIMAL
79.3.2.02,DE HÚMERO CON FIJACIÓN INTERNA (DISPOSITIVOS DE FIJACIÓN U OSTEOSÍNTESIS) REDUCCIÓN ABIERTA DE FRACTURA CONMINUTA DE TERCIO
79.3.2.03,PROXIMAL HÚMERO CON FIJACIÓN INTERNA (DISPOSITIVOS DE FIJACIÓN U OSTEOSÍNTESIS) REDUCCIÓN ABIERTA DE FRACTURA SUPRACONDÍLEA DE HÚMERO
79.3.2.04,CON FIJACIÓN INTERNA (DISPOSITIVOS DE FIJACIÓN U OSTEOSÍNTESIS) REDUCCIÓN ABIERTA DE FRACTURA SUPRACONDÍLEA E
79.3.2.05,INTERCONDÍLEA DE HÚMERO CON FIJACIÓN INTERNA (DISPOSITIVOS DE FIJACIÓN U OSTEOSÍNTESIS)
79.3.2.06,CUPS” CÓDIGO                                  DESCRIPCIÓN REDUCCIÓN ABIERTA DE FRACTURA DE EPICÓNDILO O EPITRÓCLEA DE HÚMERO CON FIJACIÓN INTERNA (DISPOSITIVOS DE FIJACIÓN U OSTEOSÍNTESIS)
79.3.2.10,REDUCCIÓN ABIERTA DE FRACTURA EN DIÁFISIS DE HÚMERO CON FIJACIÓN INTERNA (DISPOSITIVOS DE FIJACIÓN U OSTEOSÍNTESIS)
79.3.3.01,RADIO O CÚBITO REDUCCIÓN ABIERTA DE FRACTURA EN DIÁFISIS DE CÚBITO O RADIO CON FIJACIÓN INTERNA
79.3.3.02,REDUCCIÓN ABIERTA DE FRACTURA EN SEGMENTO PROXIMAL DE CÚBITO O DE OLÉCRANON CON FIJACIÓN INTERNA
79.3.3.03,REDUCCIÓN ABIERTA DE FRACTURA EN SEGMENTO DISTAL DE CÚBITO O RADIO CON FIJACIÓN INTERNA
79.3.3.04,REDUCCIÓN ABIERTA DE FRACTURA EN SEGMENTO PROXIMAL DE RADIO (CÚPULA RADIAL) CON FIJACIÓN INTERNA
79.3.3.05,REDUCCIÓN ABIERTA DE FRACTURA EN SEGMENTO PROXIMAL DE RADIO Y CÚBITO CON FIJACIÓN INTERNA
79.3.3.06,REDUCCIÓN ABIERTA DE FRACTURA EN SEGMENTO DISTAL DE RADIO Y CÚBITO CON FIJACIÓN INTERNA
79.3.3.07,REDUCCIÓN ABIERTA DE FRACTURA EN DIÁFISIS DE CÚBITO Y RADIO CON FIJACIÓN INTERNA
79.3.4.03,CARPIANOS Y METACARPIANOS REDUCCIÓN ABIERTA DE FRACTURA DE HUESOS DE CARPO CON FIJACIÓN INTERNA
79.3.4.04,REDUCCIÓN ABIERTA DE FRACTURA DE HUESOS DE CARPO CON FIJACIÓN INTERNA VÍA ARTROSCÓPICA
79.3.4.05,REDUCCIÓN ABIERTA DE FRACTURA DE METACARPIANOS CON FIJACIÓN INTERNA
79.3.4.06,REDUCCIÓN ABIERTA DE FRACTURA DE METACARPIANOS CON FIJACIÓN INTERNA VÍA ARTROSCÓPICA
